Elspot Prices in DKK/MWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data was last updated 10-03-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SYS,SE1,SE2,SE3,SE4,FI,DK1,DK2,Oslo,Kr.sand,Bergen,Molde,Tr.heim,TromsÃ¸,EE,EE,LV,LV,LT,LT,AT,AT,BE,BE,DE-LU,DE-LU,FR,FR,NL,NL
27-05-2020,"31,25","60,72","60,72","81,07","167,19","220,81","153,66","202,88","13,34","13,34","13,34","35,20","35,20","40,76",,"227,20",,"227,20",,"227,20",,,,,,,,,,
28-05-2020,"28,28","32,41","32,41","102,21","149,74","159,15","151,51","194,45","15,56","15,56","15,56","31,30","31,30","32,64",,"164,78",,"169,91",,"169,91",,,,,,,,,,
29-05-2020,"30,31","32,43","32,43","113,96","115,70","170,58","169,18","169,18","18,13","18,13","18,13","32,43","32,43","32,43",,"170,58",,"170,58",,"170,58",,,,,,,,,,
30-05-2020,"23,82","29,74","29,74","34,45","34,45","83,30","93,45","93,45","16,77","16,77","16,77","29,74","29,74","29,74",,"83,30",,"83,30",,"83,30",,,,,,,,,,
31-05-2020,"14,40","17,08","17,08","17,08","17,08","38,43","43,44","43,91","12,63","12,63","12,63","17,08","17,08","17,08",,"38,43",,"38,43",,"38,43",,,,,,,,,,
01-06-2020,"24,61","46,16","46,16","66,29","72,16","211,89","72,58","78,03","14,19","14,19","14,19","34,49","34,49","34,56",,"211,97",,"211,97",,"211,97",,,,,,,,,,
02-06-2020,"25,81","95,28","95,28","208,88","208,88","240,71","229,69","240,46","11,40","11,40","11,40","46,95","46,95","46,95",,"240,71",,"240,71",,"240,71",,,,,,,,,,
03-06-2020,"27,83","89,60","89,60","267,59","267,85","269,09","222,15","243,52","10,67","10,67","10,67","62,38","62,38","62,38",,"269,09",,"269,09",,"269,09",,,,,,,,,,
04-06-2020,"34,80","103,74","103,74","192,66","196,78","265,24","197,94","206,51","12,03","12,03","12,03","37,62","37,62","37,62",,"269,36",,"269,36",,"269,36",,,,,,,,,,
05-06-2020,"21,59","76,70","76,70","161,19","161,19","212,12","164,68","183,69","11,51","11,51","11,51","23,85","23,85","23,85",,"212,12",,"212,12",,"212,12",,,,,,,,,,
06-06-2020,"13,05","28,61","28,61","30,79","30,79","44,39","51,88","51,88","10,30","10,30","10,30","21,24","21,24","21,24",,"133,96",,"133,96",,"133,96",,,,,,,,,,
07-06-2020,"15,67","26,87","26,87","54,81","81,26","54,81","131,56","131,56","12,71","12,71","12,71","20,18","20,18","20,18",,"212,18",,"212,18",,"212,18",,,,,,,,,,
08-06-2020,"31,88","91,34","91,34","196,30","196,30","196,30","233,98","237,50","13,27","13,27","13,27","41,10","41,10","41,10",,"318,24",,"318,24",,"318,24",,,,,,,,,,
09-06-2020,"31,69","97,70","97,70","238,84","238,84","238,84","273,48","288,77","12,77","12,77","12,77","51,48","51,48","51,48",,"324,08",,"324,08",,"324,08",,,,,,,,,,
10-06-2020,"29,89","102,79","102,79","159,71","159,71","164,81","233,86","233,86","13,71","13,71","13,71","33,08","33,08","33,08",,"734,51",,"734,51",,"734,51",,,,,,,,,,
11-06-2020,"20,26","33,99","33,99","33,99","33,99","150,23","179,38","179,38","13,31","13,31","13,31","22,75","22,75","22,75",,"271,97",,"271,97",,"271,97",,,,,,,,,,
12-06-2020,"13,73","18,99","18,99","18,99","18,99","164,08","150,02","154,48","10,22","10,22","10,22","18,84","18,84","18,84",,"284,02",,"284,02",,"284,02",,,,,,,,,,
13-06-2020,"11,05","12,19","12,19","12,19","12,19","22,25","146,88","147,94","9,72","9,72","9,72","12,19","12,19","12,19",,"216,33",,"216,33",,"216,33",,,,,,,,,,
14-06-2020,"11,92","24,98","24,98","24,98","24,98","24,98","76,28","127,24","9,17","9,17","9,17","17,84","17,84","17,84",,"211,42",,"211,42",,"211,42",,,,,,,,,,
15-06-2020,"34,79","67,02","67,02","169,59","169,59","258,32","231,52","231,52","10,98","10,98","10,98","24,86","24,86","24,86",,"341,45",,"354,25",,"354,25",,,,,,,,,,
16-06-2020,"34,18","93,58","93,58","176,10","176,10","238,17","254,40","254,40","10,98","10,98","10,98","22,52","22,52","22,52",,"304,50",,"347,12",,"347,12",,,,,,,,,,
17-06-2020,"41,83","123,24","123,24","253,53","287,14","254,48","306,57","308,23","12,48","12,48","12,48","18,17","18,17","18,17",,"301,63",,"305,87",,"305,87",,,,,,,,,,
18-06-2020,"33,29","93,95","93,95","249,02","254,79","249,02","257,57","292,50","11,29","11,29","11,29","15,95","15,95","15,95",,"261,00",,"261,00",,"261,00",,,,,,,,,,
19-06-2020,"16,23","58,18","58,18","58,18","58,18","58,18","222,58","230,46","10,84","10,84","10,84","16,18","16,18","16,18",,"203,46",,"221,53",,"221,53",,,,,,,,,,
20-06-2020,"13,41","64,20","64,20","64,20","64,20","64,20","179,57","179,57","10,39","10,39","10,39","12,02","12,02","12,02",,"158,18",,"217,19",,"217,19",,,,,,,,,,
21-06-2020,"13,12","70,20","70,20","91,80","91,80","91,80","145,39","145,52","9,82","9,82","9,82","11,70","11,70","11,70",,"102,61",,"165,27",,"165,27",,,,,,,,,,
22-06-2020,"27,02","94,66","94,66","274,10","274,10","274,10","220,55","279,91","10,50","10,50","10,50","19,11","19,11","19,11",,"274,10",,"274,10",,"274,10",,,,,,,,,,
23-06-2020,"37,75","120,38","120,38","343,63","343,63","343,63","244,11","359,85","10,72","10,72","10,72","13,05","13,05","13,05",,"343,63",,"343,63",,"343,63",,,,,,,,,,
24-06-2020,"35,16","122,94","122,94","324,11","324,11","324,11","297,08","324,69","11,07","11,07","11,07","11,99","11,99","11,99",,"327,15",,"327,15",,"327,15",,,,,,,,,,
25-06-2020,"26,49","89,74","89,74","596,95","596,95","596,95","281,60","447,84","10,71","10,71","10,71","11,94","11,94","11,94",,"599,29",,"599,29",,"599,29",,,,,,,,,,
26-06-2020,"21,85","61,62","61,62","356,47","356,47","356,47","259,42","359,03","10,81","10,81","10,81","19,98","19,98","19,98",,"358,20",,"358,20",,"358,20",,,,,,,,,,
27-06-2020,"11,82","53,22","53,22","242,22","242,22","242,22","200,00","263,30","7,04","7,04","7,04","19,42","19,42","19,42",,"242,27",,"242,27",,"242,27",,,,,,,,,,
28-06-2020,"11,80","64,34","64,34","190,11","191,96","215,38","127,51","192,31","6,70","6,70","6,70","15,48","15,48","15,48",,"217,85",,"217,85",,"217,85",,,,,,,,,,
29-06-2020,"17,41","101,55","101,55","168,80","188,63","251,68","202,88","205,00","8,07","8,07","8,07","17,88","17,88","17,88",,"259,31",,"259,31",,"258,43",,,,,,,,,,
30-06-2020,"14,04","78,69","78,69","81,03","91,07","240,90","81,69","91,07","8,40","8,40","8,40","12,01","12,01","12,33",,"243,46",,"243,46",,"241,94",,,,,,,,,,
01-07-2020,"16,14","76,86","76,86","94,97","187,81","216,92","207,55","207,55","8,48","8,48","8,48","13,69","13,69","13,76",,"216,92",,"216,92",,"198,23",,,,,,,,,,
02-07-2020,"17,96","97,08","97,08","97,23","276,71","282,40","290,00","290,00","10,26","10,26","10,26","18,50","18,50","18,96",,"305,57",,"305,57",,"300,64",,,,,,,,,,
03-07-2020,"14,06","57,31","57,31","57,31","255,63","194,05","256,77","258,09","9,24","9,24","9,24","19,49","19,49","19,54",,"310,18",,"310,18",,"310,18",,,,,,,,,,
04-07-2020,"11,25","21,74","21,74","21,74","21,74","25,06","66,39","68,61","9,69","9,69","9,69","16,48","16,48","16,48",,"155,34",,"196,01",,"196,01",,,,,,,,,,
05-07-2020,"5,36","8,44","8,44","8,44","8,44","20,05","-107,05","10,94","7,43","7,43","7,43","8,44","8,44","8,44",,"188,19",,"188,75",,"188,75",,,,,,,,,,
06-07-2020,"7,63","12,01","12,01","12,01","12,01","42,22","8,65","12,01","6,80","6,80","6,80","9,67","9,67","10,64",,"219,98",,"219,98",,"219,98",,,,,,,,,,
07-07-2020,"12,80","70,07","70,07","70,07","117,01","119,55","121,23","121,78","7,86","7,86","7,86","15,31","15,31","18,49",,"207,93",,"207,93",,"207,93",,,,,,,,,,
08-07-2020,"19,29","114,57","114,57","114,57","244,92","197,22","286,13","286,13","10,00","10,00","10,00","14,53","14,53","23,15",,"247,08",,"247,08",,"247,08",,,,,,,,,,
09-07-2020,"28,59","110,96","110,96","113,96","282,46","231,97","311,89","311,89","11,72","11,72","11,72","15,93","15,93","22,97",,"283,74",,"283,74",,"283,74",,,,,,,,,,
10-07-2020,"26,23","112,13","112,13","112,13","204,96","114,73","238,57","241,71","11,71","11,71","11,71","20,30","20,30","23,99",,"226,80",,"226,80",,"226,80",,,,,,,,,,
11-07-2020,"15,35","74,45","74,45","74,45","74,45","81,36","61,66","74,45","11,58","11,58","11,58","13,49","13,49","23,74",,"202,24",,"202,24",,"202,24",,,,,,,,,,
12-07-2020,"16,38","80,33","80,33","80,33","110,04","90,57","104,09","110,04","11,68","11,68","11,68","17,83","17,83","24,69",,"185,92",,"185,92",,"185,92",,,,,,,,,,
13-07-2020,"25,72","108,57","108,57","108,57","218,59","167,33","231,27","231,27","11,76","11,76","11,76","26,42","26,42","26,49",,"254,80",,"254,80",,"254,80",,,,,,,,,,
14-07-2020,"26,69","115,73","115,73","115,73","264,18","186,21","269,57","272,22","11,63","11,63","11,63","22,83","22,83","26,33",,"279,27",,"279,27",,"279,27",,,,,,,,,,
15-07-2020,"28,78","116,16","116,16","116,16","276,08","191,60","310,49","310,49","11,65","11,65","11,65","24,68","24,68","25,78",,"261,44",,"276,08",,"276,08",,,,,,,,,,
16-07-2020,"30,19","119,43","119,43","119,43","292,91","212,68","330,40","330,40","11,58","11,58","11,58","27,43","27,43","27,43",,"242,35",,"292,91",,"292,91",,,,,,,,,,
17-07-2020,"24,49","107,16","107,16","107,16","272,89","268,53","279,78","279,78","11,42","11,42","11,42","26,56","26,56","26,62",,"304,62",,"304,62",,"304,62",,,,,,,,,,
18-07-2020,"17,59","87,28","87,28","87,28","204,21","99,71","207,81","215,32","10,92","10,92","10,92","25,90","25,90","25,90",,"192,60",,"229,43",,"229,43",,,,,,,,,,
19-07-2020,"18,45","65,78","65,78","65,78","177,94","75,64","206,90","206,90","11,33","11,33","11,33","31,26","31,26","31,26",,"180,40",,"231,75",,"231,75",,,,,,,,,,
20-07-2020,"23,28","73,24","73,24","73,24","230,00","236,03","213,94","240,58","11,22","11,22","11,22","30,57","30,57","30,57",,"278,79",,"285,26",,"285,26",,,,,,,,,,
21-07-2020,"19,36","58,84","58,84","58,84","163,59","180,70","163,41","170,21","11,29","11,29","11,29","24,71","24,71","24,71",,"205,72",,"205,72",,"205,72",,,,,,,,,,
22-07-2020,"14,50","37,15","37,15","37,15","185,50","81,67","237,52","248,63","11,37","11,37","11,37","21,53","21,53","21,53",,"186,19",,"203,40",,"203,40",,,,,,,,,,
23-07-2020,"14,38","24,44","24,44","24,44","229,64","104,44","257,15","257,15","11,76","11,76","11,76","18,63","18,63","18,63",,"247,28",,"262,67",,"262,67",,,,,,,,,,
24-07-2020,"16,82","42,30","42,30","42,30","154,58","91,61","191,73","191,73","11,45","11,45","11,45","20,50","20,50","20,50",,"185,60",,"196,65",,"196,65",,,,,,,,,,
25-07-2020,"16,01","35,79","35,79","35,79","168,51","88,31","186,90","188,40","11,42","11,42","11,42","20,28","20,28","20,28",,"154,81",,"242,13",,"242,13",,,,,,,,,,
26-07-2020,"12,78","21,58","21,58","21,58","84,92","111,51","101,44","115,87","10,86","10,86","10,86","15,24","15,24","15,24",,"197,88",,"197,88",,"197,88",,,,,,,,,,
27-07-2020,"15,05","30,19","30,19","45,64","197,18","154,68","222,85","239,82","11,27","11,27","11,27","17,42","17,42","17,42",,"178,74",,"203,04",,"203,04",,,,,,,,,,
28-07-2020,"12,71","28,21","28,21","28,21","101,90","192,65","46,02","101,90","10,59","10,59","10,59","12,01","12,01","12,01",,"206,57",,"220,90",,"220,90",,,,,,,,,,
29-07-2020,"10,99","16,34","16,34","16,34","16,34","180,91","14,62","16,34","8,83","8,83","8,83","13,96","13,96","13,96",,"184,61",,"202,68",,"202,68",,,,,,,,,,
30-07-2020,"10,69","12,21","12,21","12,21","26,57","184,89","92,95","92,95","9,34","9,34","9,34","11,70","11,70","11,70",,"209,86",,"211,99",,"211,99",,,,,,,,,,
31-07-2020,"12,95","25,47","25,47","86,69","217,10","239,92","273,20","273,20","9,89","9,89","9,89","13,68","13,68","13,68",,"248,64",,"249,56",,"249,56",,,,,,,,,,
01-08-2020,"12,07","22,60","22,60","83,18","204,04","249,78","194,80","207,86","7,60","7,60","7,60","15,35","15,35","15,35",,"249,78",,"270,78",,"270,78",,,,,,,,,,
02-08-2020,"11,91","24,86","24,86","71,71","188,79","207,90","209,91","209,91","7,76","7,76","7,76","14,66","14,66","14,66",,"207,90",,"225,59",,"225,59",,,,,,,,,,
03-08-2020,"12,76","23,24","23,24","201,28","268,74","289,87","273,45","273,45","9,78","9,78","9,78","15,52","15,52","15,52",,"289,87",,"291,89",,"291,89",,,,,,,,,,
04-08-2020,"14,92","37,30","37,30","228,27","268,56","259,38","271,02","272,58","9,52","9,52","9,52","16,87","16,87","16,87",,"259,38",,"290,26",,"290,26",,,,,,,,,,
05-08-2020,"15,05","36,82","36,82","135,63","215,22","319,50","204,18","220,01","8,41","8,41","8,41","18,16","18,16","18,16",,"319,99",,"322,99",,"322,99",,,,,,,,,,
06-08-2020,"18,61","41,19","41,19","205,74","245,05","326,62","246,73","247,85","9,33","9,33","9,33","19,94","19,94","19,94",,"326,62",,"330,18",,"330,18",,,,,,,,,,
07-08-2020,"19,81","42,35","42,35","218,94","267,00","313,71","268,05","273,67","9,54","9,54","9,54","20,60","20,60","20,60",,"313,71",,"315,25",,"315,25",,,,,,,,,,
08-08-2020,"17,97","42,58","42,58","143,20","237,02","211,76","238,68","238,68","9,28","9,28","9,28","20,63","20,63","20,63",,"211,76",,"270,32",,"270,32",,,,,,,,,,
09-08-2020,"18,35","42,27","42,27","143,58","212,12","171,50","212,55","213,37","7,18","11,18","7,18","22,64","22,64","22,64",,"171,50",,"273,14",,"273,14",,,,,,,,,,
10-08-2020,"35,18","53,69","53,69","262,10","297,46","287,74","275,45","304,88","7,85","13,14","7,85","27,76","27,76","27,76",,"287,74",,"299,82",,"299,82",,,,,,,,,,
11-08-2020,"44,25","64,71","64,71","291,90","297,18","294,14","270,33","308,79","11,68","15,22","11,14","32,78","32,78","32,78",,"296,61",,"299,42",,"299,42",,,,,,,,,,
12-08-2020,"59,58","95,64","95,64","272,69","337,69","339,96","266,33","337,69","14,00","14,62","11,50","40,35","40,35","40,35",,"339,96",,"339,96",,"337,75",,,,,,,,,,
13-08-2020,"65,00","110,04","110,04","235,61","349,47","347,64","287,35","349,47","16,29","17,00","11,94","44,93","44,93","44,93",,"347,65",,"349,08",,"349,08",,,,,,,,,,
14-08-2020,"55,68","106,47","106,47","228,23","324,38","292,16","304,04","325,81","18,75","20,41","12,15","45,59","45,59","45,59",,"292,16",,"321,83",,"321,83",,,,,,,,,,
15-08-2020,"37,41","103,84","103,84","145,18","247,08","222,21","237,28","247,30","12,26","21,88","11,42","42,51","42,51","42,51",,"226,63",,"252,88",,"252,88",,,,,,,,,,
16-08-2020,"43,46","98,41","98,41","168,38","216,16","168,90","213,63","216,16","15,14","26,22","12,21","49,80","49,80","45,39",,"168,90",,"261,07",,"261,07",,,,,,,,,,
17-08-2020,"77,26","118,69","118,69","353,53","389,68","360,24","300,72","390,17","25,42","31,44","13,72","51,67","51,67","44,72",,"360,24",,"384,86",,"384,86",,,,,,,,,,
18-08-2020,"90,99","466,00","466,00","511,71","548,67","526,97","315,72","548,67","32,44","34,97","18,66","51,99","51,99","48,33",,"538,31",,"545,21",,"545,21",,,,,,,,,,
19-08-2020,"103,22","250,56","250,56","401,55","436,48","407,34","284,66","436,95","30,01","31,58","28,14","52,45","52,45","48,95",,"420,67",,"431,87",,"431,87",,,,,,,,,,
20-08-2020,"89,15","253,36","253,36","372,71","388,42","377,24","283,73","388,42","26,87","26,87","26,87","53,67","53,67","53,11",,"380,76",,"388,42",,"388,42",,,,,,,,,,
21-08-2020,"73,99","138,45","138,45","275,25","366,75","339,96","224,90","366,75","28,61","28,61","28,61","50,78","50,78","50,78",,"339,96",,"363,17",,"363,17",,,,,,,,,,
22-08-2020,"41,62","113,70","113,70","113,70","181,57","195,76","138,75","183,30","24,78","24,78","24,78","48,52","48,52","47,48",,"195,76",,"239,53",,"239,53",,,,,,,,,,
23-08-2020,"42,05","128,29","128,29","152,81","165,93","192,63","121,13","167,35","24,02","24,02","24,02","37,58","37,58","37,58",,"192,63",,"232,06",,"232,06",,,,,,,,,,
24-08-2020,"95,00","168,30","168,30","345,84","361,42","358,42","332,97","364,50","27,27","27,27","27,27","41,55","41,55","41,55",,"358,42",,"358,42",,"353,05",,,,,,,,,,
25-08-2020,"110,93","172,89","174,19","406,73","414,00","407,15","283,88","414,51","33,11","33,11","30,51","50,67","50,67","50,67",,"407,15",,"414,43",,"414,43",,,,,,,,,,
26-08-2020,"118,78","189,84","189,84","307,39","307,39","315,46","145,77","307,39","39,10","39,10","31,68","61,35","61,35","61,28",,"315,46",,"315,46",,"315,26",,,,,,,,,,
27-08-2020,"141,82","199,40","199,40","353,14","360,68","364,69","344,64","367,33","47,42","47,42","42,75","75,31","75,31","68,76",,"364,69",,"369,09",,"361,77",,,,,,,,,,
28-08-2020,"138,92","212,31","212,31","323,63","326,20","339,80","302,96","339,45","61,80","61,80","61,80","83,28","83,28","72,51",,"342,38",,"342,38",,"339,01",,,,,,,,,,
29-08-2020,"110,11","205,55","205,55","212,61","254,88","251,36","265,31","265,31","72,92","72,92","72,92","100,30","100,30","64,72",,"261,97",,"261,97",,"261,93",,,,,,,,,,
30-08-2020,"123,87","213,65","213,65","222,87","250,25","233,78","251,72","251,72","90,95","90,95","90,95","115,90","115,90","80,75",,"267,73",,"267,73",,"267,73",,,,,,,,,,
31-08-2020,"188,57","262,92","262,92","380,53","399,90","385,68","402,19","407,22","111,86","111,86","111,86","163,13","163,13","102,02",,"385,68",,"391,53",,"389,62",,,,,,,,,,
01-09-2020,"206,28","356,98","356,98","382,44","387,84","382,44","370,78","391,71","131,90","131,90","131,90","138,40","138,40","113,06",,"382,44",,"387,84",,"387,84",,,,,,,,,,
02-09-2020,"192,19","262,68","262,68","354,45","371,34","354,45","370,84","376,32","135,60","135,60","135,60","146,23","146,23","109,08",,"354,45",,"371,24",,"371,24",,,,,,,,,,
03-09-2020,"178,33","283,33","283,33","320,85","328,75","335,65","301,65","343,56","125,13","125,13","125,13","132,51","132,51","82,00",,"335,65",,"335,65",,"328,75",,,,,,,,,,
04-09-2020,"166,62","262,51","262,51","262,51","284,85","297,96","284,34","285,42","121,71","121,71","121,71","133,14","133,14","81,47",,"303,71",,"308,45",,"308,45",,,,,,,,,,
05-09-2020,"126,92","213,70","213,70","213,70","234,69","213,70","242,99","240,89","104,14","104,14","104,14","126,59","126,59","80,02",,"230,75",,"234,69",,"234,69",,,,,,,,,,
06-09-2020,"123,57","222,97","222,97","222,97","242,11","223,27","256,71","244,68","94,70","94,70","94,70","132,39","132,39","71,35",,"242,11",,"242,11",,"242,11",,,,,,,,,,
07-09-2020,"160,66","263,46","263,46","279,51","314,59","350,45","312,27","314,59","94,17","94,17","94,17","127,35","127,35","77,62",,"350,45",,"354,50",,"354,38",,,,,,,,,,
08-09-2020,"117,60","194,85","194,85","194,85","221,78","270,53","239,66","235,64","85,89","85,89","85,89","82,30","82,30","71,47",,"270,53",,"274,62",,"251,32",,,,,,,,,,
09-09-2020,"134,46","214,30","214,30","220,00","241,14","339,35","222,32","241,14","87,52","87,52","87,52","109,74","109,74","77,05",,"339,35",,"339,35",,"291,04",,,,,,,,,,
10-09-2020,"141,51","172,64","172,64","295,06","306,74","321,08","307,74","308,43","86,62","86,62","86,62","91,32","91,32","87,80",,"321,08",,"329,20",,"315,19",,,,,,,,,,
11-09-2020,"147,90","240,36","240,36","296,73","353,75","360,74","342,43","354,96","88,60","88,60","88,60","104,02","104,02","66,63",,"366,81",,"381,33",,"381,33",,,,,,,,,,
12-09-2020,"99,74","200,45","200,45","200,45","209,72","203,54","181,08","210,01","87,47","87,47","87,47","81,30","81,30","68,57",,"220,16",,"220,16",,"220,16",,,,,,,,,,
13-09-2020,"80,66","165,74","165,74","165,89","166,56","167,52","103,09","166,56","80,16","80,16","80,16","72,29","72,29","69,24",,"174,43",,"174,43",,"174,43",,,,,,,,,,
14-09-2020,"155,39","205,05","205,05","319,21","352,51","323,64","384,94","378,39","92,17","92,17","92,17","120,42","120,42","75,02",,"324,94",,"330,88",,"330,88",,,,,,,,,,
15-09-2020,"199,94","482,03","482,03","493,15","498,08","495,73","522,29","544,81","90,25","90,25","90,25","109,57","109,57","75,71",,"495,73",,"498,08",,"498,08",,,,,,,,,,
16-09-2020,"137,72","253,95","253,95","344,04","344,04","349,74","377,61","377,61","84,54","84,54","84,54","70,01","70,01","62,53",,"349,74",,"349,74",,"349,74",,,,,,,,,,
17-09-2020,"167,05","268,14","268,14","303,54","303,54","303,87","311,47","316,11","77,87","77,87","77,87","80,18","80,18","59,49",,"303,87",,"303,87",,"303,87",,,,,,,,,,
18-09-2020,"87,88","205,64","205,64","255,29","265,63","267,87","306,34","306,34","63,71","63,71","63,71","42,64","42,64","28,05",,"281,27",,"281,27",,"281,27",,,,,,,,,,
19-09-2020,"76,98","189,47","189,47","189,47","239,63","217,30","267,60","267,60","50,48","50,48","50,48","42,51","42,51","24,30",,"282,44",,"282,44",,"282,44",,,,,,,,,,
20-09-2020,"52,54","175,23","175,23","175,23","198,37","175,23","269,80","269,80","45,70","45,70","45,15","14,06","14,06","12,90",,"237,52",,"237,52",,"237,52",,,,,,,,,,
21-09-2020,"63,57","126,54","126,54","167,00","200,34","191,04","446,99","446,99","51,36","51,36","49,07","38,02","38,02","15,41",,"211,41",,"211,41",,"211,41",,,,,,,,,,
22-09-2020,"122,83","184,00","184,00","204,67","240,54","227,86","371,45","371,45","48,47","48,47","44,59","50,62","50,62","11,25",,"245,38",,"245,38",,"245,38",,,,,,,,,,
23-09-2020,"103,02","194,32","194,32","203,05","209,24","258,18","254,04","254,04","49,20","49,20","42,30","37,61","37,61","10,51",,"258,18",,"258,18",,"258,18",,,,,,,,,,
24-09-2020,"51,79","116,93","116,93","116,93","116,93","258,32","107,41","132,86","43,62","43,62","36,48","27,46","27,46","10,93",,"263,78",,"263,78",,"263,78",,,,,,,,,,
25-09-2020,"67,89","135,88","135,88","159,22","162,90","255,66","204,22","198,52","36,23","36,23","36,21","24,47","24,47","14,45",,"285,70",,"285,70",,"285,70",,,,,,,,,,
26-09-2020,"25,67","41,29","41,29","41,29","41,29","161,73","41,29","41,29","22,16","22,16","22,16","21,23","21,23","17,56",,"213,83",,"213,83",,"213,83",,,,,,,,,,
27-09-2020,"22,64","73,29","73,29","73,29","73,29","116,20","73,06","73,29","15,44","15,44","15,44","17,09","17,09","17,09",,"143,14",,"143,14",,"143,14",,,,,,,,,,
28-09-2020,"84,57","305,63","305,63","305,63","315,21","305,81","326,35","326,35","14,38","14,38","14,38","20,88","20,88","20,88",,"315,39",,"315,39",,"315,39",,,,,,,,,,
29-09-2020,"104,00","392,30","392,30","392,30","397,48","392,30","435,82","435,82","14,70","14,70","14,70","20,44","20,44","20,44",,"400,27",,"400,27",,"400,27",,,,,,,,,,
30-09-2020,"112,19","319,34","319,34","323,41","335,69","323,41","366,23","366,23","14,27","14,27","14,27","30,74","30,74","25,41",,"335,69",,"335,69",,"335,69",,,,,,,,,,
01-10-2020,"64,85","227,42","227,42","227,42","236,32","269,57","227,42","236,32","17,84","17,84","17,84","24,66","24,66","22,50",,"291,01",,"291,01",,"291,01",,,,,,,,,,
02-10-2020,"39,28","124,95","124,95","124,95","124,95","234,84","119,47","124,95","24,98","24,98","24,98","25,10","25,10","22,66",,"269,52",,"269,52",,"269,52",,,,,,,,,,
03-10-2020,"26,66","58,05","58,05","58,05","58,05","137,07","16,46","58,05","23,41","23,41","23,41","25,38","25,38","21,15",,"242,31",,"242,31",,"242,31",,,,,,,,,,
04-10-2020,"31,10","58,07","58,07","58,07","73,13","59,29","61,72","73,41","30,19","30,19","29,07","26,92","26,92","22,41",,"202,20",,"202,20",,"202,20",,,,,,,,,,
05-10-2020,"89,09","176,10","176,10","179,80","214,57","297,39","194,00","215,45","42,61","42,61","39,88","37,59","37,59","27,89",,"300,15",,"300,15",,"300,15",,,,,,,,,,
06-10-2020,"76,28","181,06","181,06","186,07","225,08","231,51","227,88","227,88","45,84","45,84","43,21","38,36","38,36","27,15",,"236,76",,"236,76",,"236,76",,,,,,,,,,
07-10-2020,"89,52","154,11","154,11","159,54","236,14","263,70","246,94","236,14","49,28","49,28","46,78","45,16","45,16","40,38",,"274,09",,"274,09",,"274,09",,,,,,,,,,
08-10-2020,"116,05","171,84","171,84","171,84","189,42","300,53","189,42","189,42","58,90","58,90","55,92","58,88","58,88","57,99",,"310,48",,"310,48",,"310,48",,,,,,,,,,
09-10-2020,"106,35","145,24","145,24","145,24","229,03","273,00","218,05","229,03","84,15","84,15","74,77","75,62","75,62","65,33",,"274,57",,"274,57",,"274,57",,,,,,,,,,
10-10-2020,"113,26","169,96","169,96","169,96","179,03","191,15","179,50","179,50","92,25","92,25","92,25","92,90","92,90","65,64",,"194,12",,"194,12",,"194,12",,,,,,,,,,
11-10-2020,"126,41","184,81","184,81","184,81","211,71","184,81","212,55","212,55","123,03","123,03","123,03","118,68","118,68","71,58",,"222,00",,"222,00",,"222,00",,,,,,,,,,
12-10-2020,"167,40","300,71","300,71","311,42","338,28","365,62","344,35","347,42","132,93","132,93","132,93","122,28","122,28","88,47",,"372,52",,"375,49",,"375,49",,,,,,,,,,
13-10-2020,"159,62","345,58","345,58","345,58","356,07","354,76","359,65","369,90","138,80","138,80","138,80","129,04","129,04","99,99",,"356,07",,"356,07",,"356,07",,,,,,,,,,
14-10-2020,"147,40","160,16","160,16","160,16","160,16","276,54","159,34","160,16","145,46","145,46","144,13","126,25","126,25","95,45",,"276,54",,"276,54",,"276,54",,,,,,,,,,
15-10-2020,"154,89","227,37","227,37","245,37","256,27","273,85","260,15","260,15","144,26","144,26","143,83","130,59","130,59","100,66",,"278,97",,"278,97",,"278,97",,,,,,,,,,
16-10-2020,"172,95","231,47","231,47","236,42","315,14","315,57","315,64","315,64","189,94","189,94","152,11","130,40","130,40","96,04",,"323,39",,"323,39",,"323,39",,,,,,,,,,
17-10-2020,"136,02","144,38","144,38","144,38","228,57","154,77","203,67","228,57","144,38","144,38","144,38","91,77","91,77","91,44",,"234,54",,"234,54",,"234,54",,,,,,,,,,
18-10-2020,"124,92","126,28","126,28","133,70","153,22","166,58","153,22","153,22","133,70","133,70","133,65","112,80","112,80","100,95",,"170,36",,"170,36",,"170,36",,,,,,,,,,
19-10-2020,"167,88","161,66","161,66","280,97","289,32","291,90","302,53","302,12","192,02","192,02","153,08","161,20","161,20","95,29",,"291,90",,"291,90",,"291,90",,,,,,,,,,
20-10-2020,"161,68","216,72","216,72","221,36","225,90","413,12","225,23","229,48","145,45","145,45","145,45","145,86","145,86","94,12",,"413,12",,"413,12",,"413,12",,,,,,,,,,
21-10-2020,"146,61","176,21","176,21","196,29","220,55","276,89","217,62","220,55","131,51","131,51","131,51","145,02","145,02","89,70",,"278,31",,"278,31",,"278,31",,,,,,,,,,
22-10-2020,"108,24","112,93","112,93","112,93","112,93","278,12","108,21","108,22","105,70","105,70","105,70","110,95","110,95","86,96",,"278,12",,"278,12",,"278,12",,,,,,,,,,
